Date,Open,High,Low,Close,Volume,Ticker
2025-07-22,368,374.5,368,372.87,2448998,NASDAQ:ADBE
2025-07-23,373.49,373.99,369.26,372.46,1994599,NASDAQ:ADBE
2025-07-24,371.9,376,370.61,371.69,2692132,NASDAQ:ADBE
2025-07-25,372.31,372.41,369.51,370.74,2053161,NASDAQ:ADBE
2025-07-28,371.03,372.59,368.72,369.47,2984225,NASDAQ:ADBE
2025-07-29,370.45,376.16,369.71,370.7,4234200,NASDAQ:ADBE
2025-07-30,370.68,370.72,363.48,364,3295204,NASDAQ:ADBE
2025-07-31,362.26,362.5,354.27,357.69,4513089,NASDAQ:ADBE
2025-08-01,355.95,356.29,347.46,347.8,4307890,NASDAQ:ADBE
2025-08-04,351.16,351.21,338.04,338.85,6449344,NASDAQ:ADBE
2025-08-05,339.31,342.74,337.35,338.74,3908970,NASDAQ:ADBE
2025-08-06,341.65,345.66,339.19,345.62,3347165,NASDAQ:ADBE
2025-08-07,344.04,347.38,332.65,338.27,4661824,NASDAQ:ADBE
2025-08-08,338.68,341.57,336.37,341.05,3507764,NASDAQ:ADBE
2025-08-11,334.53,343.4,332.47,333.65,4366242,NASDAQ:ADBE
2025-08-12,333.52,338.76,330.04,338.43,3572414,NASDAQ:ADBE
2025-08-13,339.54,351.76,337.55,351.07,4375105,NASDAQ:ADBE
2025-08-14,349.5,351.56,346.1,348.58,3745646,NASDAQ:ADBE
2025-08-15,348.33,357.29,348,354.85,3718652,NASDAQ:ADBE
2025-08-18,355.68,358.39,353,357.24,2922973,NASDAQ:ADBE
2025-08-19,359.22,364.24,358.12,361.03,2808040,NASDAQ:ADBE
2025-08-20,361.68,363,353.2,353.43,3727897,NASDAQ:ADBE
2025-08-21,349.91,353.82,347,353.43,2363230,NASDAQ:ADBE
2025-08-22,355.8,362.65,354,362.09,3058636,NASDAQ:ADBE
2025-08-25,362.56,364.65,361.4,363.21,2259516,NASDAQ:ADBE
2025-08-26,363.03,363.23,353.7,354.91,4067395,NASDAQ:ADBE
2025-08-27,355.98,360.37,355.16,356.35,2353776,NASDAQ:ADBE
2025-08-28,357.63,358.26,349.11,353.96,3803095,NASDAQ:ADBE
2025-08-29,354,357.25,352.46,356.7,2639259,NASDAQ:ADBE
2025-09-02,350.24,352.71,341.28,345.63,4229423,NASDAQ:ADBE
2025-09-03,345.72,348.51,343.36,348.5,3035328,NASDAQ:ADBE
2025-09-04,342.24,344.41,331.5,344.31,4918293,NASDAQ:ADBE
2025-09-05,345.81,354.67,345.1,348.97,4662587,NASDAQ:ADBE
2025-09-08,348.86,358.82,343.59,358.66,5043305,NASDAQ:ADBE
2025-09-09,362.75,362.75,353.03,354.06,4324857,NASDAQ:ADBE
2025-09-10,356.29,359.19,348.12,350.16,4552514,NASDAQ:ADBE
2025-09-11,354.69,355.25,347.16,350.55,11804184,NASDAQ:ADBE
2025-09-12,361.1,366.5,341.61,349.36,14146624,NASDAQ:ADBE
2025-09-15,350.5,358,345.05,347.1,6768570,NASDAQ:ADBE
2025-09-16,350.16,356.94,348.32,352.73,6696990,NASDAQ:ADBE
